"jou","issn","SciMet_A","SciMet_B","SciMet_C","entry"
"European surgical research. Europaische chirurgische Forschung. Recherches chirurgicales europeennes","0014-312X","Health Sciences","Clinical Medicine","Surgery","auto_issn"
"Neural Plasticity","2090-5904","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_name"
"Dynamics of Vehicles on Roads and Tracks",NA,"Applied Sciences","Engineering","Automobile Design & Engineering","manual"
"CSR, sustainability, ethics & governance","2196-7083","Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"Indigenous People and Mobile Technologies",NA,"Arts & Humanities","Historical Studies","Anthropology","manual"
"Philosophical Magazine","1478-6435","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"RSC Advances","2046-2069","Natural Sciences","Chemistry","General Chemistry","select_name"
"SIAM Journal on Imaging Sciences","1936-4954","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_name"
"2016 17th International Scientific Conference on Electric Power Engineering (EPE)","2376-5623","Applied Sciences","Engineering","Electrical & Electronic Engineering","manual"
"Cell Cycle","1538-4101","Health Sciences","Biomedical Research","Developmental Biology","auto_issn"
"Global Public Health","1744-1692","Health Sciences","Public Health & Health Services","Public Health","auto_issn"
"Proceedings of the ACM on International Symposium on Symbolic and Algebraic Computation, ISSAC 2016",NA,"Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","manual"
"Proceedings of the ACM on International Symposium on Symbolic and Algebraic Computation, ISSAC 2016",NA,"Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","manual"
"Proceedings of the ACM on International Symposium on Symbolic and Algebraic Computation, ISSAC 2016",NA,"Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","manual"
"Cell Cycle","1538-4101","Health Sciences","Biomedical Research","Developmental Biology","auto_issn"
"Journal of Intelligent and Fuzzy Systems","1064-1246","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Journal of Managerial Psychology","0268-3946","Economic & Social Sciences","Economics & Business ","Business & Management","auto_issn"
"RSC Advances","2046-2069","Natural Sciences","Chemistry","General Chemistry","select_name"
"2016 Eighth International Conference on Advanced Computational Intelligence (ICACI).",NA,"Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","manual"
"Geomatics, natural hazards & risk","1947-5705","Applied Sciences","Engineering","Geological & Geomatics Engineering","manual"
"Mediators of Inflammation","0962-9351","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"IEEE Geoscience and Remote Sensing Letters","2150-704X","Applied Sciences","Engineering","Geological & Geomatics Engineering","select_name"
"Biogeosciences","1726-4170","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Archives of suicide research","1381-1118","Health Sciences","Clinical Medicine","Psychiatry","manual"
"Communication methods and measures","1931-2458","Arts & Humanities","Communication & Textual Studies","Communication & Media Studies","manual"
"Structure & Infrastructure Engineering","1573-2479","Applied Sciences","Engineering","Civil Engineering","auto_issn"
"Medical Imaging 2016: Ultrasonic Imaging and Tomography","0277-786X","Health Sciences","Clinical Medicine","Nuclear Medicine & Medical Imaging","manual"
"Plant signaling & behavior","1559-2316","Natural Sciences","Biology","Plant Biology & Botany","auto_issn"
"International Journal of Cast Metal Research","1364-0461","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Ironmaking & Steelmaking","0301-9233","Applied Sciences","Engineering","Mining & Metallurgy","auto_issn"
"Acta Oncologica (Informa)","0284-186X","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Ergonomics","0014-0139","Health Sciences","Psychology & Cognitive Sciences","Human Factors","auto_issn"
"Zeitschrift f¸r Tourismuswissenschaft","1867-9501","Economic & Social Sciences","Economics & Business ","Sport, Leisure & Tourism","manual"
"Arkivoc","1551-7004","Natural Sciences","Chemistry","Organic Chemistry","auto_name"
"Biogeosciences","1726-4170","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Journal of International Marketing","1069-031X","Economic & Social Sciences","Economics & Business ","Marketing","auto_issn"
"2015 Proceedings of the ASME 2015 Internal Combustion Engine Division Fall Technical Conference (ICEF2015)",NA,"Applied Sciences","Enabling & Strategic Technologies","Energy","manual"
"Journal of chemistry","2090-9063","Natural Sciences","Chemistry","General Chemistry","manual"
"SIAM Journal on Applied Mathematics","0036-1399","Natural Sciences","Mathematics & Statistics","Applied Mathematics","auto_issn"
"SIAM Journal on Numerical Analysis","0036-1429","Natural Sciences","Mathematics & Statistics","Numerical & Computational Mathematics","auto_issn"
"ACM SIGPLAN Notices","0362-1340","Applied Sciences","Information & Communication Technologies","Software Engineering","auto_issn"
"IEEE/ACM Transactions on Computational Biology and Bioinformatics (ACM)","1545-5963","Applied Sciences","Enabling & Strategic Technologies","Bioinformatics","auto_issn"
"Annales Geophysicae","0992-7689","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"15th International Symposium on Reactor Dosimetry","2100-014X","Health Sciences","Clinical Medicine","Nuclear Medicine & Medical Imaging","manual"
"Journal of Systematics and Evolution","1674-4918","Natural Sciences","Biology","Plant Biology & Botany","manual"
"Wonder 2015: Fourth International Workshop on Nuclear Data Evaluation for Reactor Applications","2100-014X","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","manual"
"Systematic Entomology","0307-6970","Natural Sciences","Biology","Evolutionary Biology","auto_issn"
"Materials research letters","2166-3831","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Journal of Instrumentation","1748-0221","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of geophysical research. Space physics","2169-9380","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"Astronomy & astrophysics","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"Journal of Sustainable Tourism","0966-9582","Economic & Social Sciences","Economics & Business ","Sport, Leisure & Tourism","auto_issn"
"Earth-Science Reviews","0012-8252","Natural Sciences","Earth & Environmental Sciences","Geology","auto_issn"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"The Imaging Science Journal","1368-2199","Natural Sciences","Physics & Astronomy","Optics","auto_issn"
"Monthly Weather Review","0027-0644","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Global Change Biology","1354-1013","Natural Sciences","Biology","Ecology","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Microchemical Journal","0026-265X","Natural Sciences","Chemistry","Analytical Chemistry","auto_issn"
"Ecological Indicators","1470-160X","Natural Sciences","Biology","Ecology","auto_issn"
"Engineering Structures","0141-0296","Applied Sciences","Engineering","Civil Engineering","auto_issn"
"Fuel Processing Technology","0378-3820","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Palaeogeography, Palaeoclimatology, Palaeoecology","0031-0182","Natural Sciences","Earth & Environmental Sciences","Paleontology","auto_issn"
"Palaeogeography, Palaeoclimatology, Palaeoecology","0031-0182","Natural Sciences","Earth & Environmental Sciences","Paleontology","auto_issn"
"Match (Mulheim an der Ruhr, Germany)","0340-6253","Natural Sciences","Mathematics & Statistics","General Mathematics","auto_issn"
"IEEE GLOBECOM 2016","2166-0069","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","manual"
"2016 IEEE Real-Time and Embedded Technology and Applications Symposium (RTAS)","1545-3421","Applied Sciences","Engineering","Electrical & Electronic Engineering","manual"
"Advances in Agronomy","0065-2113","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","auto_issn"
"Animal Science Journal","1344-3941","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","auto_issn"
"Annals of Oncology","0923-7534","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Annual review of animal biosciences","2165-8102","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","manual"
"The Astrophysical Journal Supplement","0067-0049","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"Atmospheric Chemistry and Physics","1680-7316","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Autophagy","1554-8627","Health Sciences","Biomedical Research","Biochemistry & Molecular Biology","auto_issn"
"Lecture notes in computer science","0302-9743","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Critical Care Medicine","0090-3493","Health Sciences","Clinical Medicine","Emergency & Critical Care Medicine","auto_issn"
"European journal of preventive cardiology","2047-4873","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","manual"
"Evidence-Based Complementary and Alternative Medicine","1741-427X","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"Evidence-Based Complementary and Alternative Medicine","1741-427X","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology","0892-6638","Health Sciences","Biomedical Research","Biochemistry & Molecular Biology","auto_issn"
"Global Environmental Change","0959-3780","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Hydrological Sciences Journal/Journal des Sciences, Hydrologiques","0262-6667","Applied Sciences","Engineering","Environmental Engineering","auto_issn"
